,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,present_prize
832,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner,144000
833,Ford,2010,275000,70000,Petrol,Individual,Manual,First Owner,449248
834,Tata,2016,285000,90000,Petrol,Individual,Manual,First Owner,328558
835,Hyundai,2016,900000,80000,Diesel,Individual,Manual,First Owner,1518003
836,Mercedes-Benz,2014,2500000,79500,Diesel,Individual,Automatic,Second Owner,4287239
837,Hyundai,2013,620000,70000,Diesel,Individual,Manual,Second Owner,798428
838,Toyota,2018,1700000,5000,Diesel,Individual,Manual,First Owner,2678003
839,Ford,2018,650000,15000,Petrol,Individual,Manual,First Owner,1008619
840,Maruti,2014,500000,35000,Petrol,Individual,Manual,First Owner,598293
841,Tata,2009,250000,120000,Diesel,Individual,Manual,Second Owner,344275
842,Mahindra,2018,950000,15000,Diesel,Individual,Manual,Second Owner,1586426
843,Toyota,2015,320000,60000,Petrol,Individual,Manual,First Owner,514824
844,Renault,2013,450000,120000,Diesel,Individual,Manual,First Owner,662420
845,Mahindra,2016,350000,90000,Diesel,Individual,Manual,First Owner,514072
846,Maruti,2015,400000,90000,Petrol,Individual,Manual,First Owner,634664
847,Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner,240000
848,Hyundai,2009,250000,72000,Diesel,Individual,Manual,Second Owner,352451
849,Toyota,2011,550000,197000,Petrol,Individual,Manual,Second Owner,960405
850,Maruti,1999,85000,70000,Petrol,Individual,Manual,Second Owner,102000
851,Hyundai,2001,52000,50000,Petrol,Individual,Manual,Third Owner,62400
852,Tata,2017,1200000,50000,Diesel,Individual,Automatic,First Owner,2061362
853,Hyundai,2011,450000,60000,Petrol,Individual,Automatic,Third Owner,519309
854,Maruti,2018,615000,40000,Petrol,Individual,Manual,First Owner,812607
855,Maruti,2012,400000,60000,Diesel,Individual,Manual,Second Owner,456743
856,Tata,2013,60000,40000,Petrol,Individual,Manual,First Owner,72000
857,Maruti,2017,500000,9161,Petrol,Individual,Manual,First Owner,822787
858,Honda,2015,600000,45000,Petrol,Individual,Manual,First Owner,811656
859,Hyundai,2010,110000,110000,Petrol,Individual,Manual,First Owner,132000
860,Hyundai,2013,175000,80000,Petrol,Individual,Manual,First Owner,210000
861,Ford,2011,325000,100000,Diesel,Individual,Manual,Second Owner,390000
862,Maruti,2017,425000,90000,Diesel,Individual,Manual,First Owner,738830
863,Hyundai,2009,160000,70000,CNG,Individual,Manual,Third Owner,192000
864,Maruti,2007,100000,80000,Petrol,Individual,Manual,Third Owner,120000
865,Maruti,2014,390000,110000,Diesel,Individual,Manual,Second Owner,496011
866,Hyundai,2017,400000,50000,Petrol,Individual,Manual,First Owner,601424
867,Tata,2018,509999,5000,Petrol,Individual,Manual,First Owner,864969
868,Hyundai,2008,150000,90000,Petrol,Individual,Manual,Third Owner,180000
869,Hyundai,2009,110000,120000,Petrol,Individual,Manual,First Owner,132000
870,Nissan,2013,450000,80000,Diesel,Individual,Manual,First Owner,753380
871,Hyundai,2017,400000,38000,Petrol,Individual,Manual,Second Owner,559536
872,Hyundai,2009,140000,120000,Petrol,Individual,Manual,First Owner,168000
873,Tata,2011,130000,90000,Diesel,Individual,Manual,First Owner,160280
874,Maruti,2017,160000,50000,Petrol,Individual,Manual,First Owner,270437
875,Maruti,2016,150000,60000,Petrol,Individual,Manual,First Owner,180000
876,Mahindra,2013,500000,100000,Diesel,Individual,Manual,Second Owner,827360
877,Tata,2011,40000,19000,Petrol,Individual,Manual,First Owner,48000
878,Chevrolet,2006,140000,200000,Diesel,Individual,Manual,Third Owner,168000
879,Mahindra,2015,227000,70000,Diesel,Individual,Manual,Second Owner,329876
880,Maruti,2011,285000,50000,Diesel,Individual,Manual,Second Owner,376638
881,Maruti,2012,155000,19077,Petrol,Individual,Manual,Second Owner,174684
882,Hyundai,2016,210000,30000,Petrol,Individual,Manual,First Owner,248011
883,Maruti,2009,140000,80000,Petrol,Individual,Manual,Second Owner,168000
884,Toyota,2015,940000,128000,Diesel,Individual,Manual,First Owner,1393148
885,Nissan,2013,750000,80000,Diesel,Individual,Manual,First Owner,1048197
886,Maruti,2016,610000,100000,Diesel,Individual,Manual,First Owner,883826
887,Nissan,2015,450000,50000,Diesel,Individual,Manual,First Owner,661022
888,Toyota,2012,409999,56000,Diesel,Individual,Manual,First Owner,587391
889,Hyundai,2018,100000,21302,Petrol,Individual,Manual,First Owner,130436
890,Renault,2018,300000,10500,Petrol,Individual,Manual,First Owner,308104
891,Mahindra,2013,400000,107000,Diesel,Individual,Manual,First Owner,428705
892,Hyundai,2010,210000,60000,Petrol,Individual,Manual,Second Owner,252000
893,Hyundai,2006,90000,120000,Petrol,Individual,Manual,Second Owner,108000
894,Maruti,2010,222000,70000,Petrol,Individual,Manual,First Owner,266400
895,Maruti,2015,240000,50000,Petrol,Individual,Manual,Second Owner,288000
896,Toyota,2013,450000,70000,Diesel,Individual,Manual,Second Owner,693051
897,Renault,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,671603
898,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,6639824
899,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,2498357
900,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,8490764
901,Hyundai,2016,535000,52600,Diesel,Individual,Manual,First Owner,847683
902,Maruti,2012,225000,110000,Petrol,Individual,Manual,Second Owner,270000
903,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,888888
904,Maruti,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,1088703
905,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,826064
906,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,867084
907,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner,333141
908,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,4537246
909,Maruti,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,1070675
910,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner,275998
911,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,2273784
912,Hyundai,2005,80000,56580,Petrol,Dealer,Manual,First Owner,96000
913,Skoda,2012,385000,52000,Diesel,Dealer,Manual,First Owner,462000
914,Hyundai,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,1114749
915,Maruti,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,1037121
916,Renault,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,579984
917,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,6613790
918,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,2492921
919,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,8455059
920,Hyundai,2016,535000,52600,Diesel,Individual,Manual,First Owner,911914
921,Maruti,2012,225000,110000,Petrol,Individual,Manual,Second Owner,270000
922,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,943112
923,Maruti,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,1157240
924,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,925738
925,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,657966
926,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner,286800
927,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,4252285
928,Maruti,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,1064083
929,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner,275998
930,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,2127201
931,Hyundai,2005,80000,56580,Petrol,Dealer,Manual,First Owner,96000
932,Skoda,2012,385000,52000,Diesel,Dealer,Manual,First Owner,419691
933,Hyundai,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,1078373
934,Maruti,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,1025423
935,Volkswagen,2012,735000,55300,Diesel,Dealer,Automatic,First Owner,1044010
936,Tata,2012,285000,74300,Diesel,Dealer,Manual,First Owner,285889
937,Honda,2010,350000,48781,Petrol,Dealer,Manual,First Owner,606273
938,Volkswagen,2010,290000,87620,Diesel,Dealer,Automatic,First Owner,304631
939,Volkswagen,2017,890000,40219,Diesel,Dealer,Automatic,First Owner,1434509
940,Honda,2011,385000,11473,Petrol,Dealer,Manual,First Owner,442696
941,Maruti,2017,425000,8352,Petrol,Dealer,Manual,First Owner,652974
942,Maruti,2017,525000,9745,Petrol,Dealer,Automatic,First Owner,643717
943,Hyundai,2017,550000,9748,Petrol,Dealer,Manual,First Owner,932876
944,Volkswagen,2012,271000,49000,Petrol,Dealer,Manual,First Owner,465272
945,Hyundai,2018,1490000,20694,Diesel,Dealer,Manual,First Owner,2408385
946,Hyundai,2015,490000,31080,Petrol,Dealer,Manual,First Owner,701086
947,Hyundai,2014,260000,37605,Petrol,Dealer,Manual,First Owner,414187
948,Hyundai,2014,455000,55850,Diesel,Dealer,Manual,First Owner,784340
949,Tata,2010,75000,58850,Petrol,Dealer,Manual,First Owner,90000
950,Toyota,2015,421000,23839,Petrol,Dealer,Manual,First Owner,507572
951,Maruti,2016,550000,54000,Diesel,Dealer,Manual,First Owner,792027
952,Hyundai,2013,330000,38000,Petrol,Dealer,Automatic,First Owner,413483
953,Volkswagen,2012,390000,45454,Diesel,Dealer,Manual,First Owner,563355
954,Skoda,2015,599000,46957,Diesel,Dealer,Automatic,First Owner,965271
955,Hyundai,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,132000
956,Renault,2016,250000,25000,Petrol,Individual,Manual,First Owner,300000
957,Mahindra,2012,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,1030818
958,Ford,2008,280000,190000,Diesel,Individual,Manual,Second Owner,423514
959,Audi,2018,2700000,25000,Diesel,Individual,Automatic,First Owner,4693105
960,Mahindra,2008,80000,90000,Petrol,Individual,Manual,First Owner,96000
961,Maruti,2019,350000,5000,Petrol,Individual,Manual,First Owner,398704
962,Maruti,2015,475000,60000,Diesel,Individual,Manual,First Owner,660035
963,Audi,2020,4700000,1500,Diesel,Individual,Automatic,First Owner,8019431
964,Maruti,2018,500000,50000,Diesel,Individual,Manual,First Owner,839199
965,Chevrolet,2014,250000,120000,Diesel,Individual,Manual,First Owner,301457
966,Hyundai,2005,100000,120000,Diesel,Individual,Manual,Second Owner,120000
967,Maruti,2019,350000,5000,Petrol,Individual,Manual,First Owner,414883
968,BMW,2014,4000000,47000,Diesel,Individual,Automatic,First Owner,6919221
969,Toyota,2017,1900000,20000,Petrol,Individual,Automatic,First Owner,3101974
970,Hyundai,2005,95000,120000,Petrol,Individual,Manual,Second Owner,114000
971,Hyundai,2015,409999,58000,Diesel,Individual,Manual,First Owner,477352
972,Mahindra,2018,1050000,35000,Diesel,Individual,Manual,First Owner,1651702
973,Maruti,2017,320000,30000,Petrol,Individual,Manual,First Owner,384000
974,Mahindra,2019,1000000,10000,Diesel,Individual,Manual,First Owner,1602359
975,Toyota,2017,1770000,25000,Diesel,Individual,Manual,First Owner,2862888
976,Mahindra,2018,950000,20000,Diesel,Individual,Manual,First Owner,1414656
977,Maruti,2018,750000,50000,Diesel,Individual,Manual,First Owner,1195610
978,Hyundai,2014,220000,42000,Petrol,Individual,Manual,First Owner,264000
979,Tata,2017,1000000,50000,Diesel,Individual,Manual,First Owner,1681791
980,Honda,2017,660000,116000,Diesel,Individual,Manual,First Owner,943403
981,Maruti,2015,716000,100000,Diesel,Individual,Manual,First Owner,982111
982,Maruti,2015,675000,66000,Petrol,Individual,Manual,First Owner,1144658
983,Mahindra,2010,385000,110000,Diesel,Individual,Manual,Third Owner,542781
984,Fiat,2014,325000,70000,Diesel,Individual,Manual,First Owner,559868
985,Hyundai,2015,950000,60000,Diesel,Individual,Manual,First Owner,1453073
986,Ford,2007,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,464721
987,Tata,2014,250000,25000,Diesel,Individual,Manual,First Owner,300000
988,Land,2018,4000000,68000,Petrol,Individual,Automatic,First Owner,6851616
989,Maruti,2014,210000,20000,Petrol,Individual,Manual,First Owner,252000
990,Hyundai,2011,147000,110000,Petrol,Individual,Manual,Second Owner,176400
991,Maruti,2018,725000,26350,Diesel,Individual,Manual,First Owner,1108450
992,Mahindra,2012,550000,90000,Diesel,Individual,Manual,First Owner,799864
993,Hyundai,2016,475000,25000,Petrol,Individual,Manual,First Owner,601453
994,Hyundai,2014,250000,50000,Petrol,Individual,Manual,Second Owner,300000
995,Tata,2006,70000,60000,Petrol,Individual,Manual,Second Owner,84000
996,Hyundai,2012,160000,70000,Petrol,Individual,Manual,Third Owner,192000
997,Ford,2011,1000000,90000,Diesel,Individual,Automatic,Second Owner,1709505
998,Hyundai,2001,68000,70000,Petrol,Individual,Manual,First Owner,81600
999,Hyundai,2017,500000,26500,Petrol,Individual,Manual,First Owner,716664
1000,Tata,2013,170000,60000,Diesel,Individual,Manual,First Owner,206151
1001,Mahindra,2018,1300000,35000,Diesel,Individual,Manual,First Owner,2202623
1002,Hyundai,2020,1050000,10000,Diesel,Individual,Manual,First Owner,1757666
1003,Maruti,2009,300000,15000,Petrol,Individual,Manual,First Owner,372567
1004,Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner,830092
1005,Hyundai,2017,900000,50000,Diesel,Individual,Manual,First Owner,1302838
1006,Hyundai,2019,550000,25000,Petrol,Individual,Manual,First Owner,712291
1007,Maruti,2007,100000,52000,Petrol,Individual,Manual,Second Owner,120000
1008,Honda,2017,400000,15000,Petrol,Individual,Manual,First Owner,619955
1009,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner,144000
1010,Hyundai,2013,300000,90000,Diesel,Individual,Manual,First Owner,464776
1011,Tata,2011,140000,60000,Diesel,Individual,Manual,Second Owner,168000
1012,Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner,1105538
1013,Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner,616747
1014,Tata,2011,120000,20000,Petrol,Individual,Manual,First Owner,144000
1015,Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner,1135111
1016,Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner,180000
1017,Ford,2018,550000,35000,Petrol,Individual,Manual,First Owner,934124
1018,Mahindra,2012,650000,71042,Diesel,Dealer,Manual,First Owner,993793
1019,Mitsubishi,2012,1025000,167870,Diesel,Dealer,Manual,Second Owner,1507850
1020,Ford,2011,195000,133564,Diesel,Dealer,Manual,First Owner,305171
1021,Mercedes-Benz,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,6427059
1022,BMW,2013,1490000,40000,Diesel,Dealer,Automatic,First Owner,2334147
1023,BMW,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,8508077
1024,Honda,2018,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner,1964363
1025,Chevrolet,2011,95000,70000,Diesel,Individual,Manual,First Owner,114000
1026,BMW,2017,3050000,30000,Diesel,Individual,Automatic,First Owner,5217116
1027,Hyundai,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,678550
1028,Maruti,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,980922
1029,Hyundai,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,629751
1030,Chevrolet,2016,239000,41000,Petrol,Dealer,Manual,First Owner,340796
1031,Toyota,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,4270419
1032,Hyundai,2012,229999,49824,Petrol,Dealer,Manual,First Owner,371683
1033,Audi,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,2170616
1034,Maruti,2017,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,872642
1035,Maruti,2018,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,1251326
1036,Hyundai,2013,280000,52000,Diesel,Dealer,Manual,First Owner,462226
1037,Maruti,2016,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,1143278
1038,Mahindra,2015,300000,90000,Diesel,Individual,Manual,First Owner,444451
1039,Hyundai,2015,375000,70000,Petrol,Individual,Manual,First Owner,508613
1040,Honda,2003,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,372000
1041,Maruti,2011,375000,190000,Diesel,Individual,Manual,Third Owner,631819
1042,Ford,2016,1950000,106000,Diesel,Individual,Automatic,First Owner,3148374
1043,Tata,2012,400000,80000,Diesel,Individual,Manual,Second Owner,422136
1044,Nissan,2014,550000,80000,Diesel,Individual,Manual,Second Owner,827532
1045,Maruti,2018,270000,20000,Petrol,Individual,Manual,First Owner,324000
1046,Maruti,2012,555000,110000,Diesel,Individual,Manual,Second Owner,739085
1047,Ford,2013,500000,60000,Diesel,Individual,Manual,Second Owner,874042
1048,Skoda,2010,400000,130000,Diesel,Individual,Automatic,Second Owner,620903
1049,Hyundai,2017,280000,28838,Petrol,Individual,Manual,First Owner,348313
1050,Tata,2008,80000,200000,Petrol,Individual,Manual,First Owner,96000
1051,Tata,2006,55000,100000,Diesel,Individual,Manual,First Owner,92611
1052,Maruti,2014,250000,50000,Petrol,Individual,Manual,First Owner,300000
1053,Mahindra,2010,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner,430462
1054,Mahindra,2007,95000,100000,Diesel,Individual,Manual,Second Owner,114000
1055,Mahindra,2014,725000,135000,Diesel,Individual,Manual,Second Owner,996695
1056,Mahindra,2015,320000,50000,Diesel,Individual,Manual,Third Owner,427896
1057,Skoda,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner,1940629
1058,Chevrolet,2012,160000,50000,Diesel,Individual,Manual,First Owner,192000
1059,Honda,2018,790000,19571,Diesel,Dealer,Manual,First Owner,1225410
1060,Honda,2018,1200000,29600,Petrol,Dealer,Manual,First Owner,1913839
1061,Maruti,2011,175000,70000,Petrol,Individual,Manual,First Owner,211579
1062,Maruti,2018,950000,15000,Diesel,Individual,Automatic,First Owner,1383933
1063,Maruti,2019,340000,50000,Petrol,Individual,Manual,First Owner,458197
1064,Renault,2017,825000,13500,Diesel,Individual,Manual,First Owner,1209130
1065,Audi,2018,3100000,22000,Petrol,Individual,Automatic,First Owner,5335441
1066,Honda,2018,780000,25000,Diesel,Dealer,Manual,First Owner,1158334
1067,Toyota,2010,350000,80000,Petrol,Individual,Automatic,Third Owner,560216
1068,Honda,2018,690000,39000,Petrol,Dealer,Manual,First Owner,1170807
1069,Maruti,2016,245000,60000,Petrol,Individual,Manual,First Owner,332389
1070,Honda,2018,790000,49000,Diesel,Dealer,Manual,First Owner,1208650
1071,Honda,2018,680000,48600,Petrol,Dealer,Manual,First Owner,1030076
1072,Hyundai,2017,540000,20000,Petrol,Individual,Manual,Second Owner,837643
1073,Mahindra,2016,425000,25000,Petrol,Individual,Manual,First Owner,533640
1074,Maruti,2008,140000,120000,Petrol,Individual,Manual,First Owner,211885
1075,Maruti,2019,1100000,30000,Diesel,Individual,Manual,First Owner,1784362
1076,Renault,2015,715000,35000,Diesel,Individual,Manual,First Owner,1048251
1077,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,2544804
1078,Audi,2015,1750000,127643,Diesel,Dealer,Automatic,First Owner,2986249
1079,Tata,2018,400000,54000,Petrol,Dealer,Manual,Second Owner,649923
1080,Audi,2014,1750000,102354,Diesel,Dealer,Automatic,First Owner,2845127
1081,Audi,2014,1850000,62237,Petrol,Dealer,Automatic,First Owner,3083320
1082,Hyundai,2005,114999,90000,Petrol,Dealer,Manual,Second Owner,182320
1083,Ford,2018,950000,21394,Diesel,Dealer,Manual,First Owner,1429434
1084,Datsun,2015,310000,32686,Petrol,Dealer,Manual,First Owner,502095
1085,Mahindra,2006,575000,1001,Diesel,Dealer,Manual,First Owner,781660
1086,Renault,2017,490000,22000,Diesel,Dealer,Manual,First Owner,648341
1087,Hyundai,2017,480000,53261,Petrol,Dealer,Manual,First Owner,657975
1088,Land,2016,3500000,53000,Diesel,Dealer,Automatic,First Owner,5968579
1089,Renault,2018,370000,10000,Petrol,Dealer,Manual,First Owner,422737
1090,Maruti,2017,835000,14000,Diesel,Dealer,Manual,First Owner,1346844
1091,Volkswagen,2017,650000,44000,Petrol,Dealer,Manual,First Owner,894415
1092,Toyota,2014,670000,39895,Diesel,Dealer,Manual,First Owner,1038629
1093,Chevrolet,2017,950000,73000,Diesel,Dealer,Automatic,First Owner,1514935
1094,Honda,2014,690000,17000,Petrol,Dealer,Manual,First Owner,1180139
1095,Volkswagen,2017,670000,18591,Petrol,Dealer,Manual,First Owner,1171731
1096,Tata,2017,925000,26766,Diesel,Dealer,Manual,First Owner,1615323
1097,Hyundai,2015,250000,30000,Petrol,Individual,Manual,First Owner,257050
1098,Tata,2016,509999,42000,Diesel,Individual,Manual,First Owner,842165
1099,Honda,2014,520000,110000,Diesel,Individual,Manual,First Owner,625532
1100,Tata,2005,100000,100000,Diesel,Individual,Manual,First Owner,120000
1101,Tata,2006,85000,300000,Diesel,Individual,Manual,Second Owner,102000
1102,Tata,2009,130000,110000,Diesel,Individual,Manual,Third Owner,152285
1103,Ford,2018,950000,27620,Diesel,Dealer,Manual,First Owner,1487928
1104,Ford,2015,450000,70000,Petrol,Individual,Manual,First Owner,606378
1105,Honda,2012,320000,50000,Petrol,Individual,Manual,Second Owner,384000
1106,Maruti,2015,480000,50000,Diesel,Individual,Manual,First Owner,660924
1107,Mercedes-Benz,2014,2490000,46000,Diesel,Individual,Automatic,First Owner,4122567
1108,Toyota,2012,790000,82000,Diesel,Individual,Manual,First Owner,1186442
1109,Maruti,2016,120000,120000,Petrol,Individual,Manual,First Owner,144000
1110,Maruti,2006,75000,80000,Petrol,Individual,Manual,Third Owner,90000
1111,Tata,2010,99000,70000,Petrol,Individual,Manual,First Owner,118800
1112,Maruti,2018,1015000,20000,Diesel,Individual,Manual,First Owner,1627562
1113,Mahindra,2013,250000,200000,Diesel,Individual,Manual,Second Owner,300000
1114,Toyota,2011,520000,120000,Diesel,Individual,Manual,First Owner,794904
1115,Hyundai,2018,1100000,30000,Diesel,Individual,Automatic,First Owner,1785005
1116,Toyota,2005,200000,223000,Diesel,Individual,Manual,First Owner,334899
1117,Maruti,2016,525000,60000,Diesel,Individual,Manual,First Owner,787920
1118,Hyundai,2016,500000,40000,Petrol,Individual,Manual,First Owner,760534
1119,Mahindra,2016,675000,161327,Diesel,Individual,Manual,First Owner,1067894
1120,Hyundai,2009,150000,60000,Petrol,Individual,Manual,Third Owner,180000
1121,Mahindra,2007,250000,50000,Diesel,Individual,Manual,First Owner,281614
1122,Hyundai,2018,450000,6000,Petrol,Individual,Manual,First Owner,581348
1123,Hyundai,2009,150000,68000,Petrol,Individual,Manual,Second Owner,211061
1124,Chevrolet,2012,200000,85000,Diesel,Individual,Manual,First Owner,240000
1125,Mahindra,2011,525000,70000,Diesel,Individual,Automatic,First Owner,760933
1126,Maruti,1999,60000,35000,Petrol,Individual,Manual,Second Owner,72000
1127,Maruti,2010,180000,100000,Diesel,Individual,Manual,Second Owner,216000
1128,Honda,2015,475000,110000,Diesel,Individual,Manual,First Owner,690734
1129,Mahindra,2010,380000,195000,Diesel,Individual,Automatic,Second Owner,649262
1130,Maruti,2015,285000,46000,Petrol,Individual,Manual,Second Owner,342000
1131,Maruti,2008,91200,60000,Petrol,Individual,Manual,Second Owner,142628
1132,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner,275505
1133,Hyundai,2015,400000,42000,Diesel,Individual,Manual,First Owner,624708
1134,Hyundai,2006,160000,90000,Petrol,Individual,Automatic,Second Owner,192000
1135,Skoda,2012,650000,85000,Diesel,Individual,Manual,Second Owner,1034155
1136,Hyundai,2012,409999,120000,Diesel,Individual,Manual,Third Owner,504840
1137,Ford,2013,425000,72000,Diesel,Individual,Manual,First Owner,470174
1138,Maruti,2013,250000,71000,CNG,Individual,Manual,Second Owner,300000
1139,Maruti,2009,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,250533
1140,Maruti,2013,250000,71000,CNG,Individual,Manual,Second Owner,300000
1141,Volkswagen,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,156000
1142,Maruti,2017,260000,30000,Petrol,Dealer,Manual,First Owner,397096
1143,Hyundai,2007,155000,65000,Petrol,Dealer,Manual,First Owner,166112
1144,Honda,2015,450000,38000,Diesel,Individual,Manual,First Owner,504318
1145,Maruti,2012,220000,90000,Petrol,Individual,Manual,Second Owner,264000
1146,Hyundai,2018,650000,37000,Diesel,Dealer,Manual,First Owner,957986
1147,Maruti,2018,285000,30000,Petrol,Dealer,Manual,First Owner,372403
1148,Honda,2018,725000,26000,Petrol,Dealer,Automatic,First Owner,1253091
1149,Maruti,2016,625000,30000,Petrol,Dealer,Manual,First Owner,934361
1150,Hyundai,2016,550000,23000,Petrol,Dealer,Manual,First Owner,731673
1151,Hyundai,2012,240000,40000,Petrol,Dealer,Manual,First Owner,337539
1152,Nissan,2014,600000,27000,Diesel,Dealer,Manual,First Owner,1033282
1153,Tata,2012,350000,65000,Diesel,Dealer,Manual,First Owner,552920
1154,Hyundai,2015,245000,32000,Petrol,Dealer,Manual,First Owner,294000
1155,Mahindra,2016,600000,56000,Diesel,Dealer,Manual,First Owner,958351
1156,BMW,2017,2400000,30000,Diesel,Individual,Automatic,First Owner,4130399
1157,Mahindra,2014,620000,80000,Diesel,Dealer,Manual,First Owner,975617
1158,Maruti,2014,395000,52000,Petrol,Dealer,Manual,Second Owner,424125
1159,Maruti,2014,635000,13250,Petrol,Dealer,Manual,First Owner,945282
1160,Maruti,2011,180000,36000,Petrol,Dealer,Manual,First Owner,216000
1161,Maruti,2015,484999,73000,Diesel,Dealer,Manual,Second Owner,745488
1162,Maruti,2004,110000,60000,Petrol,Individual,Manual,First Owner,132000
1163,Maruti,2006,150000,60000,Petrol,Individual,Manual,Second Owner,180000
1164,Chevrolet,2012,400000,110000,Diesel,Individual,Manual,First Owner,669764
1165,Tata,2012,200000,70000,Diesel,Individual,Manual,Second Owner,240000
1166,Renault,2013,302000,60000,Diesel,Individual,Manual,Second Owner,317610
1167,Maruti,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,258000
1168,Maruti,2004,155000,80000,Petrol,Individual,Manual,Second Owner,186000
1169,Toyota,2014,1000000,101000,Diesel,Individual,Manual,Second Owner,1657948
1170,Mahindra,2018,550000,44000,Diesel,Individual,Manual,First Owner,713015
1171,Maruti,2006,200000,45000,Petrol,Individual,Manual,First Owner,216550
1172,Mahindra,2017,750000,120000,Diesel,Individual,Manual,First Owner,1246571
1173,Maruti,2005,90000,90000,Petrol,Individual,Manual,Second Owner,108000
1174,Maruti,2007,80000,120000,Petrol,Individual,Manual,Second Owner,96000
1175,Hyundai,2013,229999,13500,Petrol,Individual,Manual,First Owner,303554
1176,Renault,2017,350000,10000,Petrol,Individual,Manual,First Owner,371143
1177,Hyundai,2015,325000,25000,Petrol,Individual,Manual,Third Owner,400187
1178,Tata,2018,450000,8500,Petrol,Individual,Manual,First Owner,680203
1179,Maruti,2012,250000,120000,Diesel,Individual,Manual,First Owner,407600
1180,Volkswagen,2012,225000,120000,Diesel,Individual,Manual,First Owner,270000
1181,Maruti,2009,150000,90246,Petrol,Individual,Manual,Third Owner,215565
1182,Maruti,2008,110000,90000,Petrol,Individual,Manual,Second Owner,132000
1183,Maruti,2010,150000,40000,Petrol,Individual,Manual,Second Owner,170284
1184,Maruti,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,198000
1185,Renault,2017,610000,32000,Diesel,Individual,Manual,Second Owner,920567
1186,Tata,2013,170000,60400,Diesel,Individual,Manual,First Owner,276116
